x,y,source,image_name,simulated,num_spots
5.9608545,11.802696,simfish,simfish_184.tif,TRUE,1000
4.249641,25.19846,simfish,simfish_414.tif,TRUE,1800
20.265242,22.381004,simfish,simfish_113.tif,TRUE,200
4.61028,25.644642,simfish,simfish_487.tif,TRUE,2300
30.48313,9.567301,simfish,simfish_79.tif,TRUE,500
30.481127,9.131717,simfish,simfish_87.tif,TRUE,500
20.95271,22.256659,simfish,simfish_145.tif,TRUE,200
15.123135,21.458017,simfish,simfish_24.tif,TRUE,1500
30.429688,9.730537,simfish,simfish_83.tif,TRUE,500
30.474264,9.060371,simfish,simfish_93.tif,TRUE,500
26.756088,0.43634537,simfish,simfish_210.tif,TRUE,300
26.314058,0.6454889,simfish,simfish_224.tif,TRUE,300
5.392753,8.562961,simfish,simfish_263.tif,TRUE,1300
27.040562,0.37675977,simfish,simfish_203.tif,TRUE,300
30.55019,9.558164,simfish,simfish_72.tif,TRUE,500
6.2564216,8.83454,simfish,simfish_259.tif,TRUE,1300
27.729536,10.604232,simfish,simfish_381.tif,TRUE,600
4.8616667,24.710718,simfish,simfish_434.tif,TRUE,1800
6.4494777,8.441117,simfish,simfish_281.tif,TRUE,1300
27.192211,9.876012,simfish,simfish_351.tif,TRUE,600
20.602547,21.867077,simfish,simfish_144.tif,TRUE,200
4.7121787,25.870134,simfish,simfish_464.tif,TRUE,2300
4.044864,25.319359,simfish,simfish_444.tif,TRUE,1800
4.816786,25.88073,simfish,simfish_459.tif,TRUE,2300
5.423355,25.50377,simfish,simfish_469.tif,TRUE,2300
30.605213,8.971463,simfish,simfish_53.tif,TRUE,500
29.650406,12.075617,simfish,simfish_347.tif,TRUE,800
4.552666,24.945328,simfish,simfish_425.tif,TRUE,1800
30.40893,9.108644,simfish,simfish_95.tif,TRUE,500
5.9694276,11.55557,simfish,simfish_180.tif,TRUE,1000
6.1426396,8.750777,simfish,simfish_275.tif,TRUE,1300
29.432127,12.60091,simfish,simfish_330.tif,TRUE,800
20.620388,22.310972,simfish,simfish_106.tif,TRUE,200
26.725405,0.7487016,simfish,simfish_242.tif,TRUE,300
27.769457,10.589127,simfish,simfish_384.tif,TRUE,600
6.479843,8.487548,simfish,simfish_277.tif,TRUE,1300
6.3183355,11.622535,simfish,simfish_186.tif,TRUE,1000
27.195381,0.49519917,simfish,simfish_229.tif,TRUE,300
4.9244156,24.80786,simfish,simfish_429.tif,TRUE,1800
5.1187906,25.903248,simfish,simfish_475.tif,TRUE,2300
30.591642,8.768314,simfish,simfish_65.tif,TRUE,500
4.3634143,25.212608,simfish,simfish_422.tif,TRUE,1800
14.951073,21.702305,simfish,simfish_18.tif,TRUE,1500
4.0025806,24.861452,simfish,simfish_427.tif,TRUE,1800
26.605947,0.6878363,simfish,simfish_228.tif,TRUE,300
30.376993,9.993427,simfish,simfish_81.tif,TRUE,500
5.54251,25.131544,simfish,simfish_460.tif,TRUE,2300
5.379806,25.741304,simfish,simfish_479.tif,TRUE,2300
15.334086,22.03349,simfish,simfish_45.tif,TRUE,1500
5.844641,11.668732,simfish,simfish_194.tif,TRUE,1000
6.0075135,11.969406,simfish,simfish_178.tif,TRUE,1000
27.401033,10.265922,simfish,simfish_373.tif,TRUE,600
26.901562,1.1470076,simfish,simfish_234.tif,TRUE,300
4.6005373,24.476606,simfish,simfish_431.tif,TRUE,1800
4.723911,25.303028,simfish,simfish_428.tif,TRUE,1800
27.457169,10.633496,simfish,simfish_397.tif,TRUE,600
4.949461,24.798885,simfish,simfish_445.tif,TRUE,1800
30.702051,9.578924,simfish,simfish_67.tif,TRUE,500
29.59278,12.226524,simfish,simfish_339.tif,TRUE,800
5.2788343,25.343077,simfish,simfish_482.tif,TRUE,2300
6.0722127,11.638895,simfish,simfish_173.tif,TRUE,1000
26.774622,0.42016736,simfish,simfish_238.tif,TRUE,300
30.51058,9.1651535,simfish,simfish_60.tif,TRUE,500
6.1843734,8.305041,simfish,simfish_293.tif,TRUE,1300
14.764789,21.958496,simfish,simfish_36.tif,TRUE,1500
3.8868043,25.157454,simfish,simfish_430.tif,TRUE,1800
26.972486,10.49749,simfish,simfish_372.tif,TRUE,600
26.637642,0.9644634,simfish,simfish_219.tif,TRUE,300
20.901892,21.931871,simfish,simfish_140.tif,TRUE,200
30.248192,9.064991,simfish,simfish_55.tif,TRUE,500
5.531978,25.838907,simfish,simfish_451.tif,TRUE,2300
29.632492,12.406121,simfish,simfish_331.tif,TRUE,800
5.1260834,25.803978,simfish,simfish_491.tif,TRUE,2300
19.94528,22.20709,simfish,simfish_132.tif,TRUE,200
15.445107,22.166649,simfish,simfish_20.tif,TRUE,1500
26.976822,0.40913078,simfish,simfish_230.tif,TRUE,300
4.878595,24.895428,simfish,simfish_406.tif,TRUE,1800
26.92981,10.265229,simfish,simfish_364.tif,TRUE,600
5.643738,25.910223,simfish,simfish_467.tif,TRUE,2300
29.513344,12.831775,simfish,simfish_340.tif,TRUE,800
5.7948728,11.6891365,simfish,simfish_170.tif,TRUE,1000
29.41248,12.34715,simfish,simfish_344.tif,TRUE,800
6.2016945,12.055685,simfish,simfish_190.tif,TRUE,1000
29.02502,12.177232,simfish,simfish_314.tif,TRUE,800
20.199434,22.25779,simfish,simfish_120.tif,TRUE,200
5.9243565,12.063316,simfish,simfish_165.tif,TRUE,1000
5.8638706,12.025416,simfish,simfish_187.tif,TRUE,1000
4.9931455,24.674797,simfish,simfish_415.tif,TRUE,1800
6.050702,12.019492,simfish,simfish_200.tif,TRUE,1000
5.715675,8.863075,simfish,simfish_282.tif,TRUE,1300
20.695667,21.662224,simfish,simfish_135.tif,TRUE,200
26.435513,0.51456654,simfish,simfish_227.tif,TRUE,300
4.7884207,25.353155,simfish,simfish_457.tif,TRUE,2300
5.883887,12.014453,simfish,simfish_152.tif,TRUE,1000
26.995543,9.798982,simfish,simfish_400.tif,TRUE,600
27.189844,10.252919,simfish,simfish_365.tif,TRUE,600
29.574223,11.898224,simfish,simfish_321.tif,TRUE,800
14.984798,22.435455,simfish,simfish_34.tif,TRUE,1500
26.773287,0.7807326,simfish,simfish_247.tif,TRUE,300
5.29282,25.110231,simfish,simfish_500.tif,TRUE,2300
14.6603985,21.6568,simfish,simfish_19.tif,TRUE,1500
4.1557813,24.658836,simfish,simfish_437.tif,TRUE,1800
4.748453,25.812744,simfish,simfish_484.tif,TRUE,2300
20.529465,22.168034,simfish,simfish_147.tif,TRUE,200
14.912409,21.437742,simfish,simfish_16.tif,TRUE,1500
5.307871,24.884932,simfish,simfish_416.tif,TRUE,1800
29.379057,11.613951,simfish,simfish_327.tif,TRUE,800
5.7390676,9.001347,simfish,simfish_264.tif,TRUE,1300
29.468128,12.343436,simfish,simfish_307.tif,TRUE,800
30.274822,9.727646,simfish,simfish_69.tif,TRUE,500
5.8426266,25.537893,simfish,simfish_455.tif,TRUE,2300
20.017633,22.04761,simfish,simfish_131.tif,TRUE,200
29.340574,12.817091,simfish,simfish_310.tif,TRUE,800
26.961037,0.8967086,simfish,simfish_214.tif,TRUE,300
14.970386,22.172161,simfish,simfish_21.tif,TRUE,1500
5.9559364,8.428771,simfish,simfish_257.tif,TRUE,1300
4.6737914,24.568005,simfish,simfish_411.tif,TRUE,1800
5.5261073,25.28513,simfish,simfish_483.tif,TRUE,2300
5.7519965,11.913674,simfish,simfish_169.tif,TRUE,1000
26.811417,10.113542,simfish,simfish_363.tif,TRUE,600
4.766294,25.756279,simfish,simfish_497.tif,TRUE,2300
26.655859,0.38844308,simfish,simfish_221.tif,TRUE,300
4.767584,24.563072,simfish,simfish_441.tif,TRUE,1800
29.595823,12.698952,simfish,simfish_316.tif,TRUE,800
27.17323,10.450733,simfish,simfish_394.tif,TRUE,600
15.563785,21.952333,simfish,simfish_5.tif,TRUE,1500
20.321062,21.957127,simfish,simfish_126.tif,TRUE,200
14.918671,21.683372,simfish,simfish_49.tif,TRUE,1500
6.1656604,11.809907,simfish,simfish_154.tif,TRUE,1000
21.08963,21.841522,simfish,simfish_119.tif,TRUE,200
29.98268,9.157165,simfish,simfish_57.tif,TRUE,500
27.212004,9.859022,simfish,simfish_354.tif,TRUE,600
30.550829,9.922303,simfish,simfish_85.tif,TRUE,500
20.0289,22.314909,simfish,simfish_116.tif,TRUE,200
20.311598,22.012337,simfish,simfish_137.tif,TRUE,200
6.0253334,12.182344,simfish,simfish_174.tif,TRUE,1000
6.02586,8.467396,simfish,simfish_288.tif,TRUE,1300
5.5158324,25.548132,simfish,simfish_480.tif,TRUE,2300
30.658852,9.487552,simfish,simfish_58.tif,TRUE,500
6.263996,8.679022,simfish,simfish_272.tif,TRUE,1300
29.511894,11.9727335,simfish,simfish_305.tif,TRUE,800
30.118286,9.472746,simfish,simfish_99.tif,TRUE,500
14.929125,21.336739,simfish,simfish_42.tif,TRUE,1500
29.022131,12.2578125,simfish,simfish_312.tif,TRUE,800
5.8912883,8.709412,simfish,simfish_260.tif,TRUE,1300
29.145943,12.711799,simfish,simfish_303.tif,TRUE,800
15.267181,21.978798,simfish,simfish_48.tif,TRUE,1500
26.657413,0.49124506,simfish,simfish_208.tif,TRUE,300
26.77742,10.149813,simfish,simfish_396.tif,TRUE,600
26.475262,0.9708454,simfish,simfish_245.tif,TRUE,300
6.126565,11.737658,simfish,simfish_161.tif,TRUE,1000
27.0886,10.355875,simfish,simfish_378.tif,TRUE,600
5.1110263,25.310656,simfish,simfish_481.tif,TRUE,2300
30.67975,8.93641,simfish,simfish_54.tif,TRUE,500
5.0593033,25.471298,simfish,simfish_486.tif,TRUE,2300
